id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
883209229123605041,Home in Castell-Platja d'Aro · 3 bedrooms · 5 beds · 1 bath,125660503,Iolanda,,Castell-Platja d'Aro,41.80191,3.04288,Entire home/apt,357,1,2,2023-08-16,0.39,13,353,2,HUTG-068337
883212447837569934,Rental unit in Torroella de Montgrí · ★4.0 · 2 bedrooms · 4 beds · 1 bath,50442232,La Pineda,,Torroella de Montgrí,42.04757,3.1955,Entire home/apt,999,1,8,2023-10-01,1.09,6,151,8,HUTG-011232
880305857071524934,Rental unit in Calonge · ★5.0 · 3 bedrooms · 5 beds · 2 baths,27860974,Ferran,,Calonge,41.84521,3.09858,Entire home/apt,137,2,4,2023-08-21,0.55,1,173,4,HUTG-067922
879845274307694739,Rental unit in Empuriabrava · ★4.92 · Studio · 1 bed · 1.5 baths,223770923,Josefa,,Castelló d'Empúries,42.2384986843321,3.123373389244079,Entire home/apt,67,2,13,2023-09-17,2.05,2,362,13,HUTG042175
880315600822043680,Rental unit in Begur · 3 bedrooms · 4 beds · 2 baths,17954073,Jean-Marie,,Begur,41.93814,3.217,Entire home/apt,187,7,0,,,1,154,0,HUTG-016922
880068361158044608,Cottage in Molló · 3 bedrooms · 11 beds · 1.5 baths,512273418,Teresa,,Molló,42.364136,2.40715,Entire home/apt,242,7,0,,,1,358,0,Exempt
883217739568054030,Rental unit in Lloret de Mar · ★4.88 · 1 bedroom · 2 beds · 1 bath,444272119,Gala,,Lloret de Mar,41.699783924877025,2.838749438524246,Entire home/apt,75,2,8,2023-08-29,1.14,1,298,8,HUTG-000883
880083388666625848,Rental unit in Empuriabrava · ★4.33 · 1 bedroom · 1 bed · 1 bath,449663560,Welcs,,Castelló d'Empúries,42.2465,3.13,Entire home/apt,50,1,3,2023-11-03,0.38,34,362,3,HUTG-032148
880117335562851420,Rental unit in Platja d'Aro · 2 bedrooms · 3 beds · 1 bath,512280702,Dani,,Castell-Platja d'Aro,41.812728634920006,3.0640577306884786,Entire home/apt,175,7,0,,,1,308,0,HUTG-053153
883235260163851185,Home in Canapost · 5 bedrooms · 10 beds · 5 baths,10288198,Anna,,Forallac,41.97523,3.07102,Entire home/apt,572,7,1,2023-08-06,0.20,1,362,1,HUTG-039785
883246171830313297,Rental unit in Empuriabrava · 1 bedroom · 1 bed · 1 bath,29432958,Ferran/ Fernando,,Castelló d'Empúries,42.23977,3.12406,Entire home/apt,85,2,1,2023-08-13,0.21,3,233,1,HUTG-068308
