id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
955680905677966296,Villa in Cap d'Artrutx · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.92821767742411,3.821505900579834,Entire home/apt,403,1,0,,,199,126,0,HT 273 ME
955682156822701017,Villa in Illes Balears · 4 bedrooms · 7 beds · 3 baths,515028500,Villa Plus,,Ciutadella de Menorca,40.00665561174825,3.801227726110387,Entire home/apt,931,1,0,,,199,147,0,VT 691 ME
955686982506319990,Villa in Cala en Porter · 4 bedrooms · 7 beds · 3 baths,515028500,Villa Plus,,Alaior,39.867760982811305,4.136623590485917,Entire home/apt,588,1,0,,,199,96,0,VT 876 ME
955689588461601079,Villa in Punta Prima · 3 bedrooms · 4 beds · 1 bath,515028500,Villa Plus,,Sant Lluís,39.817440819733584,4.282241057326943,Entire home/apt,417,1,0,,,199,180,0,HT 143 ME
955690855989210838,Villa in Ciutadella de Menorca · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,40.006831135809996,3.807854001423475,Entire home/apt,339,1,0,,,199,138,0,ET 549 ME
955691375914991742,Villa in Cap d'Artrutx · 6 bedrooms · 10 beds · 4 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.92545,3.8283,Entire home/apt,923,1,0,,,199,91,0,EXP. 1586
955693211397678676,Villa in Arenal d'en Castell · 4 bedrooms · 4 beds · 2 baths,515028500,Villa Plus,,Es Mercadal,40.02017,4.18341,Entire home/apt,458,1,0,,,199,56,0,183/1984
955693688910597001,Villa in Los Delfines · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.9991978418437,3.79655620776168,Entire home/apt,427,1,0,,,199,98,0,VT645ME
955697402692870535,Villa in Ciutadella de Menorca · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.969008262701124,3.8343540736633206,Entire home/apt,465,1,0,,,199,155,0,ET 1046 ME
955697414004542300,Villa in Es Mercadal · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Es Mercadal,40.024735356875354,4.187793948502029,Entire home/apt,516,1,0,,,199,126,0,VT 410 ME
955697549697926985,Villa in Serpentona · 4 bedrooms · 7 beds · 4 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.94193,3.95648,Entire home/apt,744,1,0,,,199,117,0,VT 712 ME
955699748450390337,Villa in Cap d'Artrutx · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.929014070982696,3.8224692191771434,Entire home/apt,323,1,0,,,199,166,0,VT416 ME
955699845513101938,Villa in Cales Piques · 3 bedrooms · 5 beds · 3 baths,515028500,Villa Plus,,Ciutadella de Menorca,40.00820953094021,3.7992982880034987,Entire home/apt,672,1,1,2023-10-27,0.46,199,143,1,ET2707ME
955699973803373167,Villa in Serpentona · 4 bedrooms · 7 beds · 4 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.94195,3.95715,Entire home/apt,665,1,0,,,199,161,0,VT 713 ME
955700222365910570,Villa in Cap d'Artrutx · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.92907117461134,3.826292735628746,Entire home/apt,323,1,0,,,199,159,0,HT 322 ME
955700242809591801,Villa in Sant Tomàs · 5 bedrooms · 7 beds · 4 baths,515028500,Villa Plus,,Es Migjorn Gran,39.91838870110111,4.036774231285583,Entire home/apt,868,1,0,,,199,14,0,ET 914 ME
955703680068944476,Villa in Torre del Ram · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.998778191689155,3.8105978180549487,Entire home/apt,410,1,0,,,199,124,0,ET 521 ME
955703691044845658,Villa in Cala en Porter · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Alaior,39.87813005003499,4.135662247178895,Entire home/apt,439,1,0,,,199,154,0,VT 504 ME
955710040615339276,Villa in Ciudadela de Menorca · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.9731,3.84147,Entire home/apt,398,1,0,,,199,159,0,ET0701ME
957771543706004424,Villa in Cala en Porter · 5 bedrooms · 8 beds · 4 baths,515028500,Villa Plus,,Alaior,39.866636228169135,4.135880992871386,Entire home/apt,608,1,0,,,199,70,0,ET1152ME
957771985606937921,Villa in Cala en Porter · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Alaior,39.87251966037595,4.1366397903463685,Entire home/apt,461,1,0,,,199,166,0,VT 467 ME
957771996052602262,Villa in Es Mercadal · 4 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Es Mercadal,40.02405810560956,4.186289052913497,Entire home/apt,388,1,0,,,199,131,0,ET 1088 ME
957772564912433702,Villa in San Jaime Mediterráneo · 3 bedrooms · 6 beds · 3 baths,515028500,Villa Plus,,Alaior,39.905513057144056,4.071531567481854,Entire home/apt,545,1,0,,,199,117,0,HT 200 ME
