,single_detached_house,apart_5_plus,other_dwelling,avg_household_size, married,not_married,single_parents,one_person_household,two_plus_person_household,low_income_percent,non_immigrants,immigrants,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,total_work_activity,unemployed,employed,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,population for 100 years and over,household_income,income_under_5000,income_between_5000_9000,income_between_10000_14999,"$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$15,000 to $19,999","$20,000 to $29,000","$30,000 to $39,000","$40,000 to $49,000",total_highest_education,no_certificate_diploma_degree,highschool_diploma,trades_certificate,non-university_certificate,university_certificate,bachelors_or_above,bachelors,above_bachelors
willowdale east,3385,16100,2810,2.25,24115,20385,2345,7395,1575,30.3,"14,150","31,040","13,800","8,505","21,070","1,225","19,175","3,125","44,330","17,005","27,350","9,890",695,"9,390","1,550",50,215,11951085,1005925,865855,12901385,20002255,27153075,26652655,20152185,16201910,15752005,15501870,12951695,11151370,9551120,665790,505630,350410,225320,70165,1525,00,"22,305","2,090",640,755,"1,525","1,420","1,300","1,285","1,080",880,805945,790800,770790,44330,3110,8580,535280,5225,1495,25095,15435,1390
willowdale west,2030,4630,895,2.22,8000,7140,640,2650,580,27.1,"5,970","9,390","4,810","2,755","7,285",270,"6,815",750,"14,860","6,100","8,760","3,260",275,"2,845",405,55,55,355340,310290,265235,415400,705705,790820,780755,555590,530510,470545,500610,465590,455565,410510,290390,235365,205325,145255,75125,1525,105,"7,550",560,225,250,440,390,375,375,335,605,325315,285245,265240,14860,1405,3140,205210,1935,455,7515,4700,410
willowridgemartingroverichview,3600,3740,1165,2.6,10145,8445,1365,2175,275,15,"11,775","10,030","4,595","3,925","8,005",505,"7,565",945,"18,580","7,450","11,135","6,220",515,"2,380",140,20,65,620545,625605,610545,680590,705650,655595,570670,590705,605680,745755,740855,770835,630670,560685,430500,380545,380535,245370,85155,520,100,"8,510",90,85,155,630,610,555,510,435,295,365395,375375,380370,18585,3440,5205,615510,3075,465,5265,3655,385
woburn,6310,9330,2785,2.87,23035,20800,3460,4220,950,27.2,"20,645","30,185","9,765","8,670","16,340","2,090","14,910","3,535","43,390","18,610","24,800","11,505","1,405","7,635",780,45,210,16251530,17051650,16001545,18151575,23101970,20102040,17302015,15851900,15851780,16751850,18401885,17001790,13401415,9951240,8001005,645910,585745,330430,115200,2050,150,"18,445",435,455,685,"1,725","1,405","1,240","1,070",865,"1,170",825960,910950,955815,43410,8850,13170,1025830,7535,1120,10860,7575,705
woodbine corridor,885,690,3885,2.28,5590,4625,685,1860,230,15.8,"9,320","2,935","3,170","2,275","5,375",85,"5,155",305,"10,110","2,795","7,315","2,480",165,"2,540",340,380,70,460445,400420,330275,275260,255255,335390,510560,565600,545595,505540,515520,425465,340400,240265,145175,80135,70100,3590,2030,00,00,"5,455",65,125,265,295,290,235,235,220,315,275190,225160,190180,10110,1430,2065,225185,1760,225,4220,2795,240
woodbinelumsden,1885,610,950,2.27,3600,3100,430,1110,205,15.2,"5,490","2,190","2,355","1,095","3,405",45,"3,225",215,"6,685","1,925","4,770","1,685",120,"1,940",145,175,30,225240,180190,180155,160135,200175,235235,315330,340390,295335,300320,325350,300315,250280,195190,110125,100115,5580,3550,1015,010,50,"3,455",55,65,105,245,205,200,185,195,195,150135,110130,115115,6690,1015,1760,190125,1235,125,2245,1435,135
wychwood,920,1295,3680,2.24,5840,6655,745,2075,435,16.7,"8,525","4,345","2,855","3,040","5,775",125,"5,480",410,"11,385","3,345","8,040","2,190",195,"3,005",525,610,55,325305,350315,310255,260250,385425,595680,620620,535510,425505,480535,450475,355435,365450,315385,240330,185315,210275,150335,70210,1585,200,"5,885",120,120,185,400,390,315,300,275,395,325270,225225,225225,11385,1860,2285,220205,1710,330,4775,2770,315
yongeeglinton,1400,1995,2275,2.08,5380,4630,425,2365,280,12,"8,080","3,180","2,195","3,480","5,580",95,"5,330",345,"10,000","2,510","7,485","1,970",155,"2,935",635,145,90,300300,305325,280300,255245,345380,530705,605575,450520,395455,390445,385420,285360,320355,250345,200245,85125,8095,3070,2035,50,00,"5,680",205,105,145,370,375,325,275,245,175,175170,190210,195180,10000,575,1430,14085,1275,235,6255,3625,370
yongestclair,520,4315,2175,1.76,5705,5605,395,3465,395,12.9,"8,325","3,580","2,695","4,315","6,920",105,"6,640",380,"11,090","3,130","7,965","2,050",155,"3,170",715,155,95,220230,220200,195155,145165,260350,630750,620695,410440,365420,405425,360430,295440,330465,335485,330395,205300,170225,105160,35100,1040,50,"7,015",215,120,185,505,445,415,340,325,220,225220,215235,260260,11100,460,1820,165100,1410,360,6775,3720,445
york university heights,1235,5505,3430,2.71,10420,13120,2080,2665,975,24.4,"10,295","15,595","4,600","5,565","9,145","1,025","8,005","2,155","23,525","8,915","14,620","5,945",665,"5,405",585,115,75,755680,685660,635615,900855,16151395,15451280,11051110,875970,775870,775955,9601075,855890,585640,485565,340440,310410,245345,145140,3550,010,00,"10,165",345,230,340,950,845,615,605,515,520,525525,590570,530530,23520,5125,6980,830505,3765,765,5555,3910,340
yorkdaleglen park,2165,1185,1990,2.62,6235,6610,1000,1355,275,16.8,"6,380","7,265","3,300","2,045","5,065",275,"4,695",655,"12,065","4,710","7,355","3,205",355,"2,400",360,30,85,320285,315325,370345,485430,500455,465525,425495,430480,395490,505570,495580,475510,360475,330390,255345,250355,250355,155290,60190,2045,100,"5,345",100,65,120,470,370,360,295,235,220,245240,290275,280230,12065,3445,3385,425340,1755,320,2405,1595,220
